Designator,Mid X,Mid Y,Layer,Rotation
C1,181.61,-41.275,top,180
C2,189.23,-42.545,top,90
C3,175.4925,-52.07,top,180
C4,181.8425,-55.88,top,180
C5,188.595,-56.7475,top,90
C6,175.0275,-66.675,top,180
C7,182.245,-70.485,top,180
C8,188.595,-72.39,top,90
C9,174.8575,-81.28,top,180
C10,181.3775,-85.09,top,180
C11,188.595,-86.1275,top,90
C12,175.26,-96.52,top,180
C13,181.3775,-99.695,top,180
C14,189.23,-100.965,top,90
C15,175.4925,-111.125,top,180
C16,180.975,-114.173,top,180
C17,187.96,-115.1675,top,90
C18,175.4925,-125.095,top,180
C19,186.4575,-127.635,top,180
C20,193.04,-128.6725,top,90
C21,179.705,-137.795,top,180
C22,116.205,-132.701518,top,90
C23,131.445,-132.715,top,90
C24,156.21,-92.3075,top,90
C25,158.115,-129.7725,top,90
C26,159.385,-98.6575,top,90
C27,163.195,-129.7725,top,90
Cff1,118.745,-84.8575,top,-90
D1,138.43,-132.47,top,-90
D2,118.11,-57.94,top,90
D3,151.13,-85.725,top,180
D4,118.65,-66.675,top,180
D5,151.13,-81.915,top,180
D6,151.13,-74.295,top,180
D7,151.13,-78.105,top,180
D8,151.269977,-70.522735,top,180
D9,121.285,-132.715,top,-90
D10,124.46,-132.747992,top,-90
D11,127.635,-132.747992,top,-90
EC1,196.215,-49.27,top,90
EC2,170.18,-45.085,top,90
EC3,196.215,-63.76,top,90
EC4,170.18,-59.69,top,90
EC5,196.215,-78.48,top,90
EC6,170.18,-74.555,top,90
EC7,196.215,-92.97,top,90
EC8,170.18,-88.9,top,90
EC9,196.85,-107.69,top,90
EC10,170.18,-103.505,top,90
EC11,196.85,-120.65,top,90
EC12,170.18,-117.735,top,90
EC13,201.93,-134.995,top,90
EC14,175.26,-132.715,top,90
EC15,110.045,-88.9,top,180
EC17,148.64,-44.07,top,0
EC18,129.915,-90.17,top,0
EC19,107.69,-106.94,top,180
EC20,148.38,-59.31,top,0
EC21,129.165,-105.41,top,0
EC22,107.95,-98.425,top,180
EC28,134.62,-60.77,top,-90
IC1,149.225,-51.435,top,0
L1,110.49,-76.2,top,180
Q1,189.5625,-52.07,top,0
Q2,189.23,-66.04,top,0
Q3,189.23,-81.28,top,0
Q4,189.712167,-95.805019,top,0
Q5,189.611,-110.109,top,0
Q6,189.865,-124.46,top,0
Q7,194.31,-138.43,top,0
R1,204.105,-121.285,top,180
R2,189.595,-48.895,top,0
R3,189.595,-46.355,top,180
R4,192.77,-43.815,top,0
R5,192.77,-41.275,top,0
R6,175.895,-48.625,top,-90
R7,189.595,-62.865,top,0
R8,189.595,-60.325,top,180
R9,192.77,-57.785,top,0
R10,192.77,-55.88,top,0
R11,175.895,-63.23,top,-90
R12,189.5,-78.105,top,0
R13,189.5,-75.565,top,180
R14,192.135,-73.025,top,0
R15,192.135,-70.485,top,0
R16,175.895,-77.74,top,-90
R17,189.595,-92.71,top,0
R18,189.595,-90.17,top,180
R19,192.135,-87.63,top,0
R20,192.135,-85.09,top,0
R21,175.895,-92.71,top,-90
R22,189.5,-107.315,top,0
R23,189.5,-104.775,top,180
R24,192.675,-102.235,top,0
R25,192.675,-99.695,top,0
R26,175.895,-107.68,top,-90
R27,189.595,-121.285,top,0
R28,189.595,-118.745,top,180
R29,191.405,-115.57,top,0
R30,191.405,-113.665,top,0
R31,175.895,-121.92,top,-90
R32,194.31,-135.255,top,0
R33,194.31,-132.715,top,180
R34,197.215,-130.175,top,0
R35,197.215,-127.635,top,0
R36,181.61,-134.35,top,-90
R37,141.605,-132.445,top,-90
R38,117.84,-52.07,top,0
R39,147.145,-85.725,top,180
R40,147.048711,-81.915,top,180
R41,147.32,-70.485,top,180
R42,146.955,-74.295,top,180
R43,147.05,-78.105,top,180
R44,121.285,-123.46,top,-90
R45,124.46,-123.46,top,-90
R46,127.635,-123.46,top,-90
R47,149.854239,-123.825,top,0
R48,149.866364,-126.365,top,0
R49,149.863266,-128.905,top,0
R50,149.86,-131.445,top,0
R51,149.86,-133.985,top,0
RFB1,122.825,-82.55,top,0
RFB2,122.825,-86.36,top,180
U1,182.245,-48.26,top,180
U2,182.32,-62.865,top,180
U3,182.245,-77.47,top,180
U4,182.245,-92.075,top,180
U5,182.245,-106.68,top,180
U6,182.245,-120.65,top,180
U7,187.325,-134.62,top,180
U8,160.655,-135.89,top,0
U9,153.67,-98.425,top,-90
U11,128.59,-74.93,top,0
U12,120.65,-97.53,top,180
U13,118.085,-106.68,top,0
