Designator,Qnty,Comment,Cmp name,Footprint,Description,JLCPCB Part #,Notes
,,,,,,,
,,,,,,,
"C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, ",27,100n,cap_film_0805,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,Unpolarized capacitor,C49678,
,,,,,,,
"Cff1, ",1,3n3,cap_film_0805,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,Unpolarized capacitor,C396755,
,,,,,,,
"D2, ",1,BZV55B9V1,BZV55B9V1,Diode_SMD:D_MiniMELF,"9.1V, 500mW, 2%, Zener diode, MiniMELF",C545367,
,,,,,,,
"D3, D1",2,LED Blue,LED_0805_smd,Diode_SMD:D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,Light emitting diode,C84259,
,,,,,,,
"D4, ",1,1N5821,1N5821,Diode_SMD:D_SMA,"30V 3A Schottky Barrier Rectifier Diode, DO-201AD",C22452,
,,,,,,,
"D5, D11",2,LED Green,LED_0805_smd,Diode_SMD:D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,Light emitting diode,C84260,
,,,,,,,
"D6, ",1,LED Orange,LED_0805_smd,Diode_SMD:D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,Light emitting diode,C84262,
,,,,,,,
"D7, D10",2,LED Yellow,LED_0805_smd,Diode_SMD:D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,Light emitting diode,C2296,
,,,,,,,
"D8, D9",2,LED Red,LED_0805_smd,Diode_SMD:D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,Light emitting diode,C138549,
,,,,,,,
"EC1, EC2, EC3, EC4, EC5, EC6, EC7, EC8, EC9, EC10, EC11, EC12, EC13, EC14, EC20, EC21, EC22, ",17,10u,10u,Capacitor_SMD:CP_Elec_6.3x5.9,Polarized capacitor,C176699,
,,,,,,,
"EC15, ",1,100u,100u,Capacitor_SMD:CP_Elec_10x10,Polarized capacitor,C88801,
,,,,,,,
"EC17, EC18, EC19, ",3,22u,22u,Capacitor_SMD:CP_Elec_6.3x5.9,Polarized capacitor,C215761,
,,,,,,,
"EC28, ",1,680u,100u,Capacitor_SMD:CP_Elec_10x10,Polarized capacitor,C976031,
,,,,,,,
"IC1, ",1,BAJ0BC0FP-E2,BAJ0BC0FP-E2,Package_TO_SOT_SMD:TO-252-2,LDO Voltage Regulators IC LDO 1A 10V,C100002,Omit if Unavailable
,,,,,,,
"J1, ",1,XT60_60A_male,XT60_60A_male,Connector_AMASS:AMASS_XT60PW-M,"Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",C98732,
,,,,,,,
"J2, ",1,LimitSwitch,2pin_molex_2.54mm_male,Connector_Molex:Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical,"Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",C587012,
,,,,,,,
